Title,Star Rating,Price
Sharp Objects,Four,47.82
"In a Dark, Dark Wood",One,19.63
The Past Never Ends,Four,56.5
A Murder in Time,One,16.64
The Murder of Roger Ackroyd (Hercule Poirot #4),Four,44.1
The Last Mile (Amos Decker #2),Two,54.21
That Darkness (Gardiner and Renner #1),One,13.92
Tastes Like Fear (DI Marnie Rome #3),One,10.69
A Time of Torment (Charlie Parker #14),Five,48.35
A Study in Scarlet (Sherlock Holmes #1),Two,16.73
Poisonous (Max Revere Novels #3),Three,26.8
Murder at the 42nd Street Library (Raymond Ambler #1),Four,54.36
Most Wanted,Three,35.28
Hide Away (Eve Duncan #20),One,11.84
Boar Island (Anna Pigeon #19),Three,59.48
The Widow,Two,27.26
Playing with Fire,Three,13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),Five,25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,52.3
Delivering the Truth (Quaker Midwife Mystery #1),Four,20.89
It's Only the Himalayas,Two,45.17
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Four,49.43
See America: A Celebration of Our National Parks & Treasured Sites,Three,48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Two,36.94
Under the Tuscan Sun,Three,37.33
A Summer In Europe,Two,44.34
The Great Railway Bazaar,One,30.54
A Year in Provence (Provence #1),Four,56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),One,23.21
Neither Here nor There: Travels in Europe,Three,38.95
"1,000 Places to See Before You Die",Five,26.08
